,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp950-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp850-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp700-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp650-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp600-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp549-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp500-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp450-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp350-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIelecIp200-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp750-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp550-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp250-lowtol_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemIheatIp200_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp1000_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp950_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp850_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp800_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp750_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp700_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp650_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp600_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp550_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp500_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp450_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp400_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp350_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp300_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp250_2050.nc,main_runs/postnetworks/elec_s370_37m_lv1.2__Co2L0-2H-T-H-B-I-A-solar+p2-ldemItranIp200_2050.nc
BEV charger,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845,2947072.2934798845
CO2-price,-490.77343053594177,-490.538377220697,-490.50389514938325,-490.3947000385434,-490.36034387178063,-490.3693448084738,-490.23597958726936,-490.098344553205,-489.90379039278247,-489.77118078694866,-489.7786266976099,-489.21503788543055,-488.7130145209406,-488.16496138256247,-487.37133718659544,-485.4425007336268,-483.07793523466114,-478.6469938644042,-490.56779516898973,-490.49664673173777,-490.42927468784785,-490.47430245480314,-490.4344894914546,-490.36874380650005,-490.3594028721071,-490.3668164444772,-490.30658990557885,-490.345742824201,-490.3095938418503,-490.0494886358268,-489.81278592953043,-488.8424261441747,-486.77593354901944,-481.03861601982976,-490.51460467472793,-490.51774335854554,-490.39153712254483,-490.3493235927041,-490.3635228085299,-490.2710310420645,-490.1358025615746,-490.04268437481653,-489.9644601309053,-489.54238731470656,-488.9482244286716,-488.49250058065815,-487.94790370964535,-486.3865692311247,-484.290154484098,-480.2476473146052
CO2-sequestered,-100000000.00008494,-99999999.99999629,-100000000.00000009,-100000000.00000003,-99999999.99999635,-100000000.00000007,-100000000.00177416,-100000000.0,-100000000.00068256,-100000000.00133693,-99999999.99591312,-100000000.00220564,-100000000.00000015,-99999999.99999662,-100000000.00000003,-99999999.99999082,-100000000.00000018,-99999999.9906381,-100000000.00008401,-100000000.00000015,-99999999.99999942,-100000000.0000425,-99999999.99626607,-100000000.00003114,-100000000.00000083,-100000000.0001021,-100000000.01155733,-100000000.00001861,-99999999.99999729,-100000000.00000854,-100000000.00000118,-100000000.00002985,-99999999.99675062,-100000000.00000215,-100000000.00014496,-100000000.0000045,-100000000.00000149,-100000000.00001502,-100000000.00000253,-100000000.00009866,-100000000.0000017,-100000000.00474787,-100000000.00000617,-100000000.0001933,-99999999.9999992,-100000000.00003979,-100000000.0000006,-100000000.00003555,-100000000.0000019,-100000000.00000444
DAC,2729.527124292226,2687.3836040588044,2677.641273413498,2643.1200050496204,2612.538822740683,2594.600612672166,2573.22909403512,2546.293750938815,2530.5674926257975,2508.9139914983857,2506.2747791484503,2481.6223282488772,2422.851496914265,2337.25686769758,2193.108563477991,1885.4220964202123,1314.9759954745746,501.87233781063367,2682.299658406,2670.53558206568,2647.5550752590507,2637.4169600189407,2632.5382112306174,2621.525661298988,2609.8585352398063,2604.093437642465,2589.670987850696,2580.404861999398,2556.775044484082,2517.965396729862,2481.0818706435607,2357.216132708309,1923.5753536621141,1170.1097706473347,2698.4650496443433,2680.9489682983567,2639.1249371859813,2615.526133959906,2602.2692188863307,2579.2874871984723,2563.2530884664197,2545.649077503685,2519.7967598942187,2494.055457605936,2450.604956661435,2378.71592292729,2270.2866258123026,2020.0413352180626,1443.5074228444778,716.0140098835125
DC,119967.18390711617,120285.53390344833,120431.34571016327,120851.90784400908,120669.57221276515,120689.91268278642,121236.34808448722,121561.4491077824,121471.18639452475,121590.7879971401,121596.5910218225,121746.98419368645,121637.57520739704,120969.79875737753,119569.79339951403,118480.90986875116,118291.60696357896,119852.90522255888,120468.53438662956,120445.19977300808,120609.53589939204,120785.73030908869,120985.38866413262,121210.47277969235,121550.66506869432,121753.90268906522,121967.84195135112,122107.62890316034,122337.87089789944,122301.42351982534,122129.86202828992,122338.4064421271,121707.13560333416,119926.04324417115,120534.2652670504,120591.91893533868,120308.0615614114,120394.36145382671,120419.25039161458,120862.74804720159,121382.86526014721,121554.33728210654,121699.78505843533,121721.99935088899,121825.86452999242,121389.16087133465,120712.8407280516,118949.77432044655,117986.01542762943,118794.78408825512
Fischer-Tropsch,174628.91183121092,174268.58746536367,174209.28288694067,173969.30122237068,173709.85737724788,173572.26825877037,173340.99965444635,173040.05736566655,172865.10515078655,172590.79872892142,172575.30741935127,172377.08756203062,171908.0820350648,171137.32487695772,169764.41648969884,167036.67658863045,161730.8319466444,154686.30944754725,174215.87356849026,174099.95754772192,173916.21742627444,173848.1468178353,173785.5316908036,173639.3669768063,173492.47137108207,173424.0993202634,173300.0048910289,173177.99323137992,172940.6964236042,172578.81715458527,172120.95933290766,170908.6832851383,166839.7422279884,160278.87156244632,174354.3820844765,174247.3415027593,173932.3347987983,173757.88967811695,173640.02676781098,173411.7996910537,173193.24422623016,172936.2372793144,172702.34874016952,172452.1245078883,172105.15496016096,171471.95460152163,170426.28719181276,168188.47599094544,163012.07344257543,156563.74698933997
H2 Electrolysis,539646.1268574345,539021.729647673,538945.6162666169,538536.3741093025,538164.716135372,538048.6805515279,537597.4925584355,537051.932736608,536772.2122622851,536312.7038552817,536320.0252347083,535819.834088859,534940.5327996302,533646.7600558236,531123.9530428742,525915.5100517889,516583.09968288697,504643.15605256875,538889.9548128771,538678.6924069935,538616.0205432632,538614.3076315429,538619.4962169976,538572.9916673222,538422.0615310806,538381.7150012384,538119.5177784433,537976.646526158,537650.1690292553,537225.5545053455,536631.1662209738,534578.3855765588,527879.9035536619,516883.0433960415,538957.1871909739,538855.4752792501,538377.8597785233,538075.1393377923,538024.5746179346,537649.2780413384,537212.1662691067,536853.9717794142,536506.2438723953,535983.6017948041,535305.3552359802,534310.3206902379,532330.5803463323,528168.6443948074,518953.33580563957,507944.28264804004
H2 Fuel Cell,0.01951628054800272,0.005648226194810692,4.3555795007313065e-09,1.2914364493144354e-10,0.003288599465572051,1.1597559233651201e-05,0.0011476786218816352,7.037569139887538e-10,5.157991939468354e-05,1.6940627713584657,0.0008660224686582373,0.0007853318757598186,1.6736838407396614e-08,0.004328861511407156,1.125656927879349e-10,0.006131178221171303,3.4025305706032246e-05,0.0009220972590680993,0.028762802371022793,5.696093989223713e-05,0.000489356023539476,0.016828875188557527,0.0014651271253466873,0.0235717210868475,0.0003690610463686771,0.036718294477960746,0.0011681073837729763,0.0082508811550338,4.165717178023753e-05,0.007613472365885117,0.00020422442953460868,0.02047014316877807,0.0007627120410454982,0.003661103484227732,0.03025441033613675,0.0006162510914702945,0.0004245984676919911,0.006833293869575488,0.0005661303854979028,0.015266209393228177,0.0004378890214493287,2.076704456423337,0.0006482072146283074,0.04960080718261468,0.0002558025236683735,0.0172454576324155,0.0001456681372975062,0.017581923714217948,0.00023778721947375603,0.012504307544771229
OCGT,83119.28335492767,53563.80356804152,44270.33800703984,19015.92877024573,2618.2993718336643,1714.308743257073,1641.0300246589966,939.8255719084655,0.002134952992366538,14.904485954180378,0.009837232644423604,0.006260959820611171,1.2300984803157047e-07,0.027151868019668325,5.539488275365152e-10,0.024101340576475533,0.00013903507772334363,0.004760925540661878,44211.91116991306,34613.52748879892,19434.596578931225,13217.431175077594,7566.737282619401,5028.014938549317,4145.378401761869,1820.8926855965694,1711.9614215335453,1370.02466531706,966.7384410425655,31.657083392764285,15.986121758599749,207.42691452895232,149.24883721166472,92.64888141893461,54920.335044320964,43457.10022996922,13408.009777871375,1710.2117754423448,1722.8370506109893,1653.8014774325095,970.8652094595825,60.73118511759966,0.007658376056045604,0.39195345573319146,0.001854343690248315,0.09512264504307828,0.0007250568288014128,0.06847211149755471,0.0009446338223489645,0.04582245505366015
PHS,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073,54841.073
